"publisher","journal_name","issn","type_colection","type","SJR_2015","JCR_2014"
"1088 Email Press","Advanced Research on Economincs and Management","2473-3474","manual","publisher",NA,NA
"1088 Email Press","Biomedical Laboratory and Clinical Research","2473-3423","manual","publisher",NA,NA
"1088 Email Press","International Journal of Advanced Science, Industry and Society","2473-3431","manual","publisher",NA,NA
"1088 Email Press","Journal of Advanced Education","Pending","manual","publisher",NA,NA
"1088 Email Press","Language, Cross-culture and Communication","2473-344X","manual","publisher",NA,NA
"1088 Email Press","Scientific Research on World, life and Values","2473-3466","manual","publisher",NA,NA
"1088 Email Press","Application of Engineering and Technology","2473-3482","manual","publisher",NA,NA
"The 5th Publisher","Agriculture Inspection",NA,"manual","publisher",NA,NA
"The 5th Publisher","Agriculture Civilization",NA,"manual","publisher",NA,NA
"The 5th Publisher","Animal Molecular Breeding","1927-5609","manual","publisher",NA,NA
"The 5th Publisher","Journal of Asian Art","1927-6648","manual","publisher",NA,NA
"The 5th Publisher","Journal of Alternative Crops",NA,"manual","publisher",NA,NA
"The 5th Publisher","Journal of Global Public Health",NA,"manual","publisher",NA,NA
"ABC Journals","Asian Journal of Applied Sciences & Engineering ","2307-9584 ","manual","publisher",NA,NA
"ABC Journals","Asian Journal of Applied Sciences & Engineering ","2305-915X","manual","publisher",NA,NA
"ABC Journals","Asian Business Review ","2307-9584 ","manual","publisher",NA,NA
"ABC Journals","Asian Business Review ","2305-915X","manual","publisher",NA,NA
"ABC Journals","Global Disclosure of Economics and Business ","2307-9592 ","manual","publisher",NA,NA
"ABC Journals","Global Disclosure of Economics and Business ","2305-9168 ","manual","publisher",NA,NA
"ABC Journals","Asian Accounting and Auditing Advancement (4A Journal)","2218-5666 ","manual","publisher",NA,NA
"ABC Journals","ABC Journal of Advanced Research (ABC JAR) ","2312-203X ","manual","publisher",NA,NA
"ABC Journals","ABC Journal of Advanced Research (ABC JAR) ","2304-2621","manual","publisher",NA,NA
"ABC Journals","Engineering International (EI)","2409-3629","manual","publisher",NA,NA
"ABC Journals","American Journal of Trade and Policy (AJTP) ","2313-4755 ","manual","publisher",NA,NA
"ABC Journals","American Journal of Trade and Policy (AJTP) "," 2313-4747 ","manual","publisher",NA,NA
"ABC Journals","International Journal of Reciprocal Symmetry and Theoretical Physics (IJRSTP)","2308-0809  ","manual","publisher",NA,NA
"ABC Journals","Malaysian Journal of Medical and Biological Research (MJMBR)","2313-0016 ","manual","publisher",NA,NA
"ABC Journals","Malaysian Journal of Medical and Biological Research (MJMBR)","2313-0008 ","manual","publisher",NA,NA
"ABC Journals","Asian Journal of Humanity, Art and Literature (AJHAL)","2312-2021 ","manual","publisher",NA,NA
"ABC Journals","Asian Journal of Humanity, Art and Literature (AJHAL)","2311-8636","manual","publisher",NA,NA
"ABC Journals","Asia Pacific Journal of Energy and Environment (APJEE)","2312-282X ","manual","publisher",NA,NA
"ABC Journals","Asia Pacific Journal of Energy and Environment (APJEE)","2312-2005 ","manual","publisher",NA,NA
"ABC Journals","ABC Research Alert","2413-5224 ","manual","publisher",NA,NA
"A M Publishers",NA,NA,"manual","publisher",NA,NA
"Abhinav","National Monthly Refereed Journal Of Research In Commerce & Management","2277-1166","manual","publisher",NA,NA
"Abhinav","Abhinav - National Monthly Refereed Journal Of Research In Arts & Education","2277-1182","manual","publisher",NA,NA
"Abhinav","Abhinav - National Monthly Refereed Journal Of Research In Science & Technology","2277-1174","manual","publisher",NA,NA
"Abhinav","Abhinav - International Monthly Refereed Journal Of Research In Management & Technology","2320-0073","manual","publisher",NA,NA
